Id,Type,Question,Answer,Reference,Book,Chapter,Verse,StartVerse
1,X,To whom is Acts addressed?,Theophilus,Acts 1:1,Acts,1,1,1
2,A,"According to Acts, chapter 1, verse 1, who began to teach?",Jesus,Acts 1:1,Acts,1,1,1
3,A,"According to Acts, chapter 1, verse 2, to where was he taken up?",Heaven,Acts 1:2,Acts,1,2,2
4,A,"According to Acts, chapter 1, verse 2, what did he give?",Instructions,Acts 1:2,Acts,1,2,2
5,A,"According to Acts, chapter 1, verse 2, whom had he chosen?",The apostles,Acts 1:2,Acts,1,2,2
6,G,Who was taken up to heaven?,Jesus,Acts 1:2,Acts,1,2,2
7,G,To where was Jesus taken up?,Heaven,Acts 1:2,Acts,1,2,2
8,G,What did Jesus give through the Holy Spirit to the apostles he had chosen?,Instructions,Acts 1:2,Acts,1,2,2
9,G,Who had chosen the apostles?,Jesus,Acts 1:2,Acts,1,2,2
10,G,Who gave instructions through the Holy Spirit to the apostles he had chosen?,Jesus,Acts 1:2,Acts,1,2,2
11,G,Whom had Jesus chosen?,The apostles,Acts 1:2,Acts,1,2,2
12,X,"In Acts, chapter 1, who spoke about the kingdom of God?",Jesus,Acts 1:3,Acts,1,3,3
13,A,"According to Acts, chapter 1, verse 3, when did he present himself to them?",After his suffering,Acts 1:3,Acts,1,3,3
14,A,"According to Acts, chapter 1, verse 3, whom did he present to them?",Himself,Acts 1:3,Acts,1,3,3
15,G,To whom did Jesus present himself after his suffering?,The apostles,Acts 1:3,Acts,1,3,3
16,G,To whom did Jesus appear over a period of forty days?,The apostles,Acts 1:3,Acts,1,3,3
17,G,Who presented himself to the apostles after his suffering and gave many convincing proofs that he was alive?,Jesus,Acts 1:3,Acts,1,3,3
18,G,Who gave many convincing proofs that he was alive?,Jesus,Acts 1:3,Acts,1,3,3
19,G,Who appeared to the apostles over a period of forty days?,Jesus,Acts 1:3,Acts,1,3,3
20,R,"Finish these verses and give the reference: ""On one occasion, while he...""","""...was eating with them, he gave them this command: ""Do not leave Jerusalem, but wait for the gift my Father promised, which you have heard me speak about. For John baptized with water, but in a few days you will be baptized with the Holy Spirit.""""",Acts 1:4-5,Acts,1,4-5,4
21,S,"Situation question: who said it, and to whom: ""Do not leave Jerusalem, but wait for the gift my Father promised, which you have heard me speak about.""?",Jesus said it to the apostles,Acts 1:4,Acts,1,4,4
22,X,"In Acts, chapter 1, who should not leave Jerusalem?",The apostles,Acts 1:4,Acts,1,4,4
