Set Title,Set Number,Question Number,Type,Question,Answer,Reference,Book,Chapter,Verse,Begin Verse
"Set #1  all questions",1,1,"R","Finish these verses and give the reference: ""In my former book, Theophilus,...""","""...I wrote about all that Jesus began to do and to teach until the day he was taken up to heaven, after giving instructions through the Holy Spirit to the apostles he had chosen. After his suffering, he presented himself to them and gave many convincing proofs that he was alive. He appeared to them over a period of forty days and spoke about the kingdom of God.""","Acts 1:1-3",Acts,1,"1-3",1,
"Set #1  all questions",1,2,"X","To whom is Acts addressed?","Theophilus","Acts 1:1",Acts,1,"1",1,
"Set #1  all questions",1,3,"A","According to Acts, chapter 1, verse 1, who began to teach?","Jesus","Acts 1:1",Acts,1,"1",1,
"Set #1  all questions",1,4,"A","According to Acts, chapter 1, verse 2, to where was he taken up?","Heaven","Acts 1:2",Acts,1,"2",2,
"Set #1  all questions",1,5,"A","According to Acts, chapter 1, verse 2, what did he give?","Instructions","Acts 1:2",Acts,1,"2",2,
"Set #1  all questions",1,6,"A","According to Acts, chapter 1, verse 2, whom had he chosen?","The apostles","Acts 1:2",Acts,1,"2",2,
"Set #1  all questions",1,7,"G","Who was taken up to heaven?","Jesus","Acts 1:2",Acts,1,"2",2,
"Set #1  all questions",1,8,"G","To where was Jesus taken up?","Heaven","Acts 1:2",Acts,1,"2",2,
"Set #1  all questions",1,9,"G","What did Jesus give through the Holy Spirit to the apostles he had chosen?","Instructions","Acts 1:2",Acts,1,"2",2,
"Set #1  all questions",1,10,"G","Who had chosen the apostles?","Jesus","Acts 1:2",Acts,1,"2",2,
"Set #1  all questions",1,11,"G","Who gave instructions through the Holy Spirit to the apostles he had chosen?","Jesus","Acts 1:2",Acts,1,"2",2,
"Set #1  all questions",1,12,"G","Whom had Jesus chosen?","The apostles","Acts 1:2",Acts,1,"2",2,
"Set #1  all questions",1,13,"X","In Acts, chapter 1, who spoke about the kingdom of God?","Jesus","Acts 1:3",Acts,1,"3",3,
"Set #1  all questions",1,14,"A","According to Acts, chapter 1, verse 3, when did he present himself to them?","After his suffering","Acts 1:3",Acts,1,"3",3,
"Set #1  all questions",1,15,"A","According to Acts, chapter 1, verse 3, whom did he present to them?","Himself","Acts 1:3",Acts,1,"3",3,
"Set #1  all questions",1,16,"G","To whom did Jesus present himself after his suffering?","The apostles","Acts 1:3",Acts,1,"3",3,
"Set #1  all questions",1,17,"G","To whom did Jesus appear over a period of forty days?","The apostles","Acts 1:3",Acts,1,"3",3,
"Set #1  all questions",1,18,"G","Who presented himself to the apostles after his suffering and gave many convincing proofs that he was alive?","Jesus","Acts 1:3",Acts,1,"3",3,
"Set #1  all questions",1,19,"G","Who gave many convincing proofs that he was alive?","Jesus","Acts 1:3",Acts,1,"3",3,
"Set #1  all questions",1,20,"G","Who appeared to the apostles over a period of forty days?","Jesus","Acts 1:3",Acts,1,"3",3,
"Set #1  all questions",1,21,"R","Finish these verses and give the reference: ""On one occasion, while he...""","""...was eating with them, he gave them this command: ""Do not leave Jerusalem, but wait for the gift my Father promised, which you have heard me speak about. For John baptized with water, but in a few days you will be baptized with the Holy Spirit.""""","Acts 1:4-5",Acts,1,"4-5",4,
"Set #1  all questions",1,22,"S","Situation question: who said it, and to whom: ""Do not leave Jerusalem, but wait for the gift my Father promised, which you have heard me speak about.""?","Jesus said it to the apostles","Acts 1:4",Acts,1,"4",4,
"Set #1  all questions",1,23,"X","In Acts, chapter 1, who should not leave Jerusalem?","The apostles","Acts 1:4",Acts,1,"4",4,
"Set #1  all questions",1,24,"X","In Acts, chapter 1, who was the gift Jesus' Father promised?","The Holy Spirit","Acts 1:4-5",Acts,1,"4-5",4,
"Set #1  all questions",1,25,"A","According to Acts, chapter 1, verse 4, what should they not leave?","Jerusalem","Acts 1:4",Acts,1,"4",4,
"Set #1  all questions",1,26,"G","Who gave the apostles this command: ""Do not leave Jerusalem, but wait for the gift my Father promised, which you have heard me speak about.""?","Jesus","Acts 1:4",Acts,1,"4",4,
"Set #1  all questions",1,27,"G","Who was eating with the apostles on one occasion?","Jesus","Acts 1:4",Acts,1,"4",4,
"Set #1  all questions",1,28,"G","Who should wait for the gift Jesus' Father promised?","The apostles","Acts 1:4",Acts,1,"4",4,
"Set #1  all questions",1,29,"G","Whom did Jesus give this command: ""Do not leave Jerusalem, but wait for the gift my Father promised, which you have heard me speak about.""?","The apostles","Acts 1:4",Acts,1,"4",4,
"Set #1  all questions",1,30,"G","With whom was Jesus eating on one occasion?","The apostles","Acts 1:4",Acts,1,"4",4,
"Set #1  all questions",1,31,"S","Situation question: who said it, and to whom: ""For John baptized with water, but in a few days you will be baptized with the Holy Spirit.""?","Jesus said it to the apostles","Acts 1:5",Acts,1,"5",5,
"Set #1  all questions",1,32,"X","Two-part question: with what did John baptize, and with whom will the apostles be baptized?","1) Water; 2) The Holy Spirit","Acts 1:5",Acts,1,"5",5,
